Diagnosis,Attribute,Lesion Class,Brier Score (Normal),Brier Score (Inverted),Brier Score Difference
MEL,bleed,ACK,0.014308272092150392,0.022647918506232326,0.008339646414081935
MEL,bleed,BCC,0.00576040258826755,0.12222814421348974,0.1164677416252222
MEL,bleed,MEL,0.13403804803519595,0.46655387558150885,0.3325158275463129
MEL,bleed,NEV,0.004310097763703294,0.0019183353722167043,-0.0023917623914865896
MEL,bleed,SCC,0.018908871127502575,0.04278347895000446,0.02387460782250188
MEL,bleed,SEK,0.003929358223599123,0.004519551270853155,0.0005901930472540324
MEL,cancer_history,ACK,0.014308272092150392,0.01529244672772436,0.0009841746355739676
MEL,cancer_history,BCC,0.00576040258826755,0.009818257798214788,0.004057855209947238
MEL,cancer_history,MEL,0.13403804803519595,0.1497688361515245,0.015730788116328553
MEL,cancer_history,NEV,0.004310097763703294,0.004918276696014524,0.00060817893231123
MEL,cancer_history,SCC,0.018908871127502575,0.015842776557196993,-0.0030660945703055824
MEL,cancer_history,SEK,0.003929358223599123,0.005978428566735198,0.002049070343136075
MEL,changed,ACK,0.014308272092150392,0.03359541629596812,0.01928714420381773
MEL,changed,BCC,0.00576040258826755,0.014336957081640641,0.008576554493373093
MEL,changed,MEL,0.13403804803519595,0.41650500850704414,0.28246696047184816
MEL,changed,NEV,0.004310097763703294,0.009882089650856093,0.005571991887152799
MEL,changed,SCC,0.018908871127502575,0.03659058382358918,0.017681712696086604
MEL,changed,SEK,0.003929358223599123,0.048642659208569174,0.04471330098497005
MEL,drink,ACK,0.014308272092150392,0.014308272092150392,0.0
MEL,drink,BCC,0.00576040258826755,0.00576040258826755,0.0
MEL,drink,MEL,0.13403804803519595,0.13403804803519595,0.0
MEL,drink,NEV,0.004310097763703294,0.004310097763703294,0.0
MEL,drink,SCC,0.018908871127502575,0.018908871127502575,0.0
MEL,drink,SEK,0.003929358223599123,0.003929358223599123,0.0
MEL,elevation,ACK,0.014308272092150392,0.004685821546505123,-0.00962245054564527
MEL,elevation,BCC,0.00576040258826755,0.03273130297299272,0.026970900384725167
MEL,elevation,MEL,0.13403804803519595,0.3639300972230772,0.22989204918788123
MEL,elevation,NEV,0.004310097763703294,0.010160564495596084,0.00585046673189279
MEL,elevation,SCC,0.018908871127502575,0.0427668818700223,0.02385801074251972
MEL,elevation,SEK,0.003929358223599123,0.03602623869503462,0.032096880471435496
MEL,grew,ACK,0.014308272092150392,0.056548194026917256,0.04223992193476686
MEL,grew,BCC,0.00576040258826755,0.00635999360866532,0.0005995910203977703
MEL,grew,MEL,0.13403804803519595,0.2551637997689168,0.12112575173372084
MEL,grew,NEV,0.004310097763703294,0.005443781316260165,0.0011336835525568708
MEL,grew,SCC,0.018908871127502575,0.020573896652162547,0.0016650255246599723
MEL,grew,SEK,0.003929358223599123,0.008468934449992789,0.004539576226393666
MEL,hurt,ACK,0.014308272092150392,0.013481510542507825,-0.0008267615496425663
MEL,hurt,BCC,0.00576040258826755,0.030028473523888852,0.024268070935621302
MEL,hurt,MEL,0.13403804803519595,0.24523968998051723,0.11120164194532128
MEL,hurt,NEV,0.004310097763703294,0.0027997921139791787,-0.0015103056497241152
MEL,hurt,SCC,0.018908871127502575,0.04167170855845889,0.022762837430956317
MEL,hurt,SEK,0.003929358223599123,0.002199150445110741,-0.0017302077784883815
MEL,itch,ACK,0.014308272092150392,0.10879940047872522,0.09449112838657482
MEL,itch,BCC,0.00576040258826755,0.00879172818309094,0.0030313255948233907
MEL,itch,MEL,0.13403804803519595,0.3998427429380345,0.26580469490283853
MEL,itch,NEV,0.004310097763703294,0.000659294950832854,-0.00365080281287044
MEL,itch,SCC,0.018908871127502575,0.07258787754181588,0.05367900641431331
MEL,itch,SEK,0.003929358223599123,0.002242991054424201,-0.0016863671691749217
MEL,skin_cancer_history,ACK,0.014308272092150392,0.012643315954637883,-0.0016649561375125087
MEL,skin_cancer_history,BCC,0.00576040258826755,0.007016567619657628,0.001256165031390078
MEL,skin_cancer_history,MEL,0.13403804803519595,0.16617814138815123,0.032140093352955285
MEL,skin_cancer_history,NEV,0.004310097763703294,0.005182797296266661,0.0008726995325633669
MEL,skin_cancer_history,SCC,0.018908871127502575,0.0345895785704305,0.015680707442927922
MEL,skin_cancer_history,SEK,0.003929358223599123,0.0034633476383762046,-0.0004660105852229181
MEL,smoke,ACK,0.014308272092150392,0.014308272092150392,0.0
MEL,smoke,BCC,0.00576040258826755,0.00576040258826755,0.0
MEL,smoke,MEL,0.13403804803519595,0.13403804803519595,0.0
MEL,smoke,NEV,0.004310097763703294,0.004310097763703294,0.0
MEL,smoke,SCC,0.018908871127502575,0.018908871127502575,0.0
MEL,smoke,SEK,0.003929358223599123,0.003929358223599123,0.0
BCC,bleed,ACK,0.028591593384054276,0.029557765519957143,0.0009661721359028666
BCC,bleed,BCC,0.29787392729563544,0.31373430189350116,0.015860374597865712
BCC,bleed,MEL,0.005546687087986058,0.004211537971419017,-0.0013351491165670415
BCC,bleed,NEV,0.002939572914483512,0.001969089545484395,-0.0009704833689991171
BCC,bleed,SCC,0.12084787184633347,0.1426858467101082,0.02183797486377473
BCC,bleed,SEK,0.00640162513617532,0.004668408251521642,-0.0017332168846536785
BCC,cancer_history,ACK,0.028591593384054276,0.028559774992742037,-3.1818391312238986e-05
BCC,cancer_history,BCC,0.29787392729563544,0.29882826400040585,0.0009543367047704088
BCC,cancer_history,MEL,0.005546687087986058,0.005368551244884776,-0.00017813584310128264
BCC,cancer_history,NEV,0.002939572914483512,0.003065040095931292,0.00012546718144778018
BCC,cancer_history,SCC,0.12084787184633347,0.12252705039061261,0.001679178544279139
BCC,cancer_history,SEK,0.00640162513617532,0.006343869420146746,-5.7755716028574586e-05
BCC,changed,ACK,0.028591593384054276,0.020764778470503023,-0.007826814913551253
BCC,changed,BCC,0.29787392729563544,0.3608617736545832,0.06298784635894777
BCC,changed,MEL,0.005546687087986058,0.022711914794438574,0.017165227706452516
BCC,changed,NEV,0.002939572914483512,0.0029279479984229187,-1.1624916060593276e-05
BCC,changed,SCC,0.12084787184633347,0.14921534553149984,0.028367473685166372
BCC,changed,SEK,0.00640162513617532,0.0024494630407239167,-0.003952162095451404
BCC,drink,ACK,0.028591593384054276,0.028591593384054276,0.0
BCC,drink,BCC,0.29787392729563544,0.29787392729563544,0.0
BCC,drink,MEL,0.005546687087986058,0.005546687087986058,0.0
BCC,drink,NEV,0.002939572914483512,0.002939572914483512,0.0
BCC,drink,SCC,0.12084787184633347,0.12084787184633347,0.0
BCC,drink,SEK,0.00640162513617532,0.00640162513617532,0.0
BCC,elevation,ACK,0.028591593384054276,0.0781213413286423,0.04952974794458803
BCC,elevation,BCC,0.29787392729563544,0.4616778390952184,0.16380391179958298
BCC,elevation,MEL,0.005546687087986058,0.02096069966304246,0.015414012575056403
BCC,elevation,NEV,0.002939572914483512,0.0035520449549522664,0.0006124720404687544
BCC,elevation,SCC,0.12084787184633347,0.12247366839416125,0.001625796547827782
BCC,elevation,SEK,0.00640162513617532,0.0035482391374927983,-0.002853385998682522
BCC,grew,ACK,0.028591593384054276,0.041117926738621455,0.012526333354567178
BCC,grew,BCC,0.29787392729563544,0.3169056836861678,0.01903175639053234
BCC,grew,MEL,0.005546687087986058,0.007279613582255524,0.0017329264942694657
BCC,grew,NEV,0.002939572914483512,0.0034501195848022294,0.0005105466703187174
BCC,grew,SCC,0.12084787184633347,0.10671197534936405,-0.014135896496969419
BCC,grew,SEK,0.00640162513617532,0.00701590025072387,0.0006142751145485495
BCC,hurt,ACK,0.028591593384054276,0.023426998775784837,-0.00516459460826944
BCC,hurt,BCC,0.29787392729563544,0.2476707936048764,-0.050203133690759044
BCC,hurt,MEL,0.005546687087986058,0.0022447318935588764,-0.003301955194427182
BCC,hurt,NEV,0.002939572914483512,0.0011436206034792324,-0.0017959523110042796
BCC,hurt,SCC,0.12084787184633347,0.12119548882013792,0.0003476169738044488
BCC,hurt,SEK,0.00640162513617532,0.0021050897127412958,-0.004296535423434025
BCC,itch,ACK,0.028591593384054276,0.02120868486103026,-0.007382908523024017
BCC,itch,BCC,0.29787392729563544,0.25906073067382657,-0.038813196621808876
BCC,itch,MEL,0.005546687087986058,0.006023141918248199,0.0004764548302621406
BCC,itch,NEV,0.002939572914483512,0.0052218487390489335,0.0022822758245654214
BCC,itch,SCC,0.12084787184633347,0.09468180453387143,-0.026166067312462044
BCC,itch,SEK,0.00640162513617532,0.008907011673947057,0.002505386537771737
BCC,skin_cancer_history,ACK,0.028591593384054276,0.028573668518506765,-1.792486554751116e-05
BCC,skin_cancer_history,BCC,0.29787392729563544,0.30116283559809703,0.0032889083024615906
BCC,skin_cancer_history,MEL,0.005546687087986058,0.00708589835701847,0.0015392112690324113
BCC,skin_cancer_history,NEV,0.002939572914483512,0.0026852357947788267,-0.0002543371197046853
BCC,skin_cancer_history,SCC,0.12084787184633347,0.12237757004123932,0.0015296981949058513
BCC,skin_cancer_history,SEK,0.00640162513617532,0.006696625352881201,0.0002950002167058808
BCC,smoke,ACK,0.028591593384054276,0.028591593384054276,0.0
BCC,smoke,BCC,0.29787392729563544,0.29787392729563544,0.0
BCC,smoke,MEL,0.005546687087986058,0.005546687087986058,0.0
BCC,smoke,NEV,0.002939572914483512,0.002939572914483512,0.0
BCC,smoke,SCC,0.12084787184633347,0.12084787184633347,0.0
BCC,smoke,SEK,0.00640162513617532,0.00640162513617532,0.0
SCC,bleed,ACK,0.04330532693944172,0.030947255082798223,-0.012358071856643494
SCC,bleed,BCC,0.1267170342825242,0.20170020234995692,0.07498316806743272
SCC,bleed,MEL,0.005646345823404232,0.0012950460890352824,-0.004351299734368949
SCC,bleed,NEV,0.00047038391988692114,0.00015023494586888464,-0.0003201489740180365
SCC,bleed,SCC,0.3038435633251026,0.35249897628061255,0.04865541295550996
SCC,bleed,SEK,0.0031013508798959574,0.0019883733035871176,-0.0011129775763088399
SCC,cancer_history,ACK,0.04330532693944172,0.043348296897459226,4.296995801750941e-05
SCC,cancer_history,BCC,0.1267170342825242,0.1311930196453086,0.0044759853627844015
SCC,cancer_history,MEL,0.005646345823404232,0.006554165083308642,0.0009078192599044103
SCC,cancer_history,NEV,0.00047038391988692114,0.0004066711564152828,-6.371276347163834e-05
SCC,cancer_history,SCC,0.3038435633251026,0.31096696011084607,0.007123396785743474
SCC,cancer_history,SEK,0.0031013508798959574,0.0031820572442629903,8.07063643670329e-05
SCC,changed,ACK,0.04330532693944172,0.03137074897488855,-0.011934577964553168
SCC,changed,BCC,0.1267170342825242,0.10218245544826865,-0.024534578834255555
SCC,changed,MEL,0.005646345823404232,0.01935231512053105,0.013705969297126818
SCC,changed,NEV,0.00047038391988692114,0.0002885795449575874,-0.00018180437492933376
SCC,changed,SCC,0.3038435633251026,0.27726172270363136,-0.02658184062147123
SCC,changed,SEK,0.0031013508798959574,0.0015260936528294076,-0.0015752572270665499
SCC,drink,ACK,0.04330532693944172,0.04330532693944172,0.0
SCC,drink,BCC,0.1267170342825242,0.1267170342825242,0.0
SCC,drink,MEL,0.005646345823404232,0.005646345823404232,0.0
SCC,drink,NEV,0.00047038391988692114,0.00047038391988692114,0.0
SCC,drink,SCC,0.3038435633251026,0.3038435633251026,0.0
SCC,drink,SEK,0.0031013508798959574,0.0031013508798959574,0.0
SCC,elevation,ACK,0.04330532693944172,0.10476215567331194,0.06145682873387023
SCC,elevation,BCC,0.1267170342825242,0.07141399538908799,-0.05530303889343621
SCC,elevation,MEL,0.005646345823404232,0.014805504667971337,0.009159158844567104
SCC,elevation,NEV,0.00047038391988692114,0.0008996780025281173,0.0004292940826411961
SCC,elevation,SCC,0.3038435633251026,0.3456621542216139,0.0418185908965113
SCC,elevation,SEK,0.0031013508798959574,0.002077797173580821,-0.0010235537063151365
SCC,grew,ACK,0.04330532693944172,0.05616094732261954,0.012855620383177821
SCC,grew,BCC,0.1267170342825242,0.11971163514520411,-0.007005399137320095
SCC,grew,MEL,0.005646345823404232,0.008928139786100102,0.00328179396269587
SCC,grew,NEV,0.00047038391988692114,0.0003992575145590962,-7.112640532782493e-05
SCC,grew,SCC,0.3038435633251026,0.3258261092459103,0.021982545920807728
SCC,grew,SEK,0.0031013508798959574,0.003139919699629489,3.85688197335316e-05
SCC,hurt,ACK,0.04330532693944172,0.029307261385631906,-0.013998065553809811
SCC,hurt,BCC,0.1267170342825242,0.1656265121986163,0.03890947791609209
SCC,hurt,MEL,0.005646345823404232,0.005277094656337421,-0.00036925116706681103
SCC,hurt,NEV,0.00047038391988692114,0.0003213232672207378,-0.00014906065266618332
SCC,hurt,SCC,0.3038435633251026,0.3084814843448913,0.0046379210197887155
SCC,hurt,SEK,0.0031013508798959574,0.0014678711693304404,-0.001633479710565517
SCC,itch,ACK,0.04330532693944172,0.028471850292728446,-0.014833476646713271
SCC,itch,BCC,0.1267170342825242,0.17626822480642126,0.04955119052389706
SCC,itch,MEL,0.005646345823404232,0.006696107108284978,0.0010497612848807463
SCC,itch,NEV,0.00047038391988692114,0.0021017177784528602,0.001631333858565939
SCC,itch,SCC,0.3038435633251026,0.372443185532882,0.06859962220777943
SCC,itch,SEK,0.0031013508798959574,0.005777676720392898,0.0026763258404969405
SCC,skin_cancer_history,ACK,0.04330532693944172,0.04312470541336788,-0.00018062152607383614
SCC,skin_cancer_history,BCC,0.1267170342825242,0.12543675246985816,-0.0012802818126660398
SCC,skin_cancer_history,MEL,0.005646345823404232,0.0072615711939841105,0.001615225370579879
SCC,skin_cancer_history,NEV,0.00047038391988692114,0.0006084123441623069,0.0001380284242753857
SCC,skin_cancer_history,SCC,0.3038435633251026,0.30616996567041094,0.0023264023453083427
SCC,skin_cancer_history,SEK,0.0031013508798959574,0.003149134761172786,4.778388127682845e-05
SCC,smoke,ACK,0.04330532693944172,0.04330532693944172,0.0
SCC,smoke,BCC,0.1267170342825242,0.1267170342825242,0.0
SCC,smoke,MEL,0.005646345823404232,0.005646345823404232,0.0
SCC,smoke,NEV,0.00047038391988692114,0.00047038391988692114,0.0
SCC,smoke,SCC,0.3038435633251026,0.3038435633251026,0.0
SCC,smoke,SEK,0.0031013508798959574,0.0031013508798959574,0.0
